Sample	Assigned	Unassigned: No Features
01_uninfected_rep1	83636305.0	14107458.0
02_OC43_3hpi_rep1	85548063.0	17941108.0
03_OC43_6hpi_rep1	71052292.0	13413724.0
04_OC43_9hpi_rep1	65626661.0	11321271.0
05_OC43_12hpi_rep1	75753134.0	11813980.0
06_OC43_18hpi_rep1	73537009.0	7495960.0
07_OC43_24hpi_rep1	70102047.0	6083958.0
08_OC43_30hpi_rep1	82184432.0	6911023.0
09_uninfected_rep2	68460047.0	12688001.0
10_OC43_1.5hpi_rep2	77806317.0	14667142.0
11_OC43_3hpi_rep2	80227604.0	16112643.0
12_OC43_9hpi_rep2	75880790.0	14153116.0
13_OC43_12hpi_rep2	70372835.0	9724422.0
14_OC43_18hpi_rep2	75733731.0	8004685.0
15_OC43_24hpi_rep2	26520409.0	47188827.0
16_OC43_30hpi_rep2	72691202.0	6995094.0
17_uninfected_rep3	53615989.0	14766970.0
18_OC43_1.5hpi_rep3	56305042.0	16772469.0
19_OC43_3hpi_rep3	47527525.0	14527172.0
20_OC43_6hpi_rep3	57212061.0	18385747.0
21_OC43_9hpi_rep3	57343472.0	13123885.0
22_OC43_12hpi_rep3	44724616.0	7921785.0
23_OC43_18hpi_rep3	47839677.0	7379989.0
24_OC43_24hpi_rep3	57793715.0	8267659.0
25_OC43_30hpi_rep3	73408904.0	9715603.0
29_uninfected_rep4	56720818.0	16831576.0
30_OC43_1.5hpi_rep4	57205139.0	16378967.0
31_OC43_3hpi_rep4	46384311.0	12541955.0
32_OC43_6hpi_rep4	62644122.0	16798804.0
33_OC43_9hpi_rep4	54491407.0	12778053.0
34_OC43_12hpi_rep4	61666056.0	10240301.0
35_OC43_18hpi_rep4	89240146.0	11301711.0
36_OC43_24hpi_rep4	52233283.0	5795992.0
37_OC43_30hpi_rep4	85683515.0	10401793.0
