Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
01_uninfected_rep1	97743763	83636305	0	0	0	0	0	0	0	0	0	0	14107458	0	0	85.56689698963196
02_OC43_3hpi_rep1	103489171	85548063	0	0	0	0	0	0	0	0	0	0	17941108	0	0	82.66378228114321
03_OC43_6hpi_rep1	84466016	71052292	0	0	0	0	0	0	0	0	0	0	13413724	0	0	84.11938358735897
04_OC43_9hpi_rep1	76947932	65626661	0	0	0	0	0	0	0	0	0	0	11321271	0	0	85.28710167285587
05_OC43_12hpi_rep1	87567114	75753134	0	0	0	0	0	0	0	0	0	0	11813980	0	0	86.50865666304819
06_OC43_18hpi_rep1	81032969	73537009	0	0	0	0	0	0	0	0	0	0	7495960	0	0	90.7494935795824
07_OC43_24hpi_rep1	76186005	70102047	0	0	0	0	0	0	0	0	0	0	6083958	0	0	92.01433649132802
08_OC43_30hpi_rep1	89095455	82184432	0	0	0	0	0	0	0	0	0	0	6911023	0	0	92.24312508421446
09_uninfected_rep2	81148048	68460047	0	0	0	0	0	0	0	0	0	0	12688001	0	0	84.36437928858128
10_OC43_1.5hpi_rep2	92473459	77806317	0	0	0	0	0	0	0	0	0	0	14667142	0	0	84.13907930058072
11_OC43_3hpi_rep2	96340247	80227604	0	0	0	0	0	0	0	0	0	0	16112643	0	0	83.27527331334328
12_OC43_9hpi_rep2	90033906	75880790	0	0	0	0	0	0	0	0	0	0	14153116	0	0	84.28023771400078
13_OC43_12hpi_rep2	80097257	70372835	0	0	0	0	0	0	0	0	0	0	9724422	0	0	87.8592321831945
14_OC43_18hpi_rep2	83738416	75733731	0	0	0	0	0	0	0	0	0	0	8004685	0	0	90.44084497609795
15_OC43_24hpi_rep2	73709236	26520409	0	0	0	0	0	0	0	0	0	0	47188827	0	0	35.97976378428343
16_OC43_30hpi_rep2	79686296	72691202	0	0	0	0	0	0	0	0	0	0	6995094	0	0	91.22171019217659
17_uninfected_rep3	68382959	53615989	0	0	0	0	0	0	0	0	0	0	14766970	0	0	78.40548257059189
18_OC43_1.5hpi_rep3	73077511	56305042	0	0	0	0	0	0	0	0	0	0	16772469	0	0	77.0483849675723
19_OC43_3hpi_rep3	62054697	47527525	0	0	0	0	0	0	0	0	0	0	14527172	0	0	76.5897301859358
20_OC43_6hpi_rep3	75597808	57212061	0	0	0	0	0	0	0	0	0	0	18385747	0	0	75.67952367084506
21_OC43_9hpi_rep3	70467357	57343472	0	0	0	0	0	0	0	0	0	0	13123885	0	0	81.37593694623739
22_OC43_12hpi_rep3	52646401	44724616	0	0	0	0	0	0	0	0	0	0	7921785	0	0	84.95284606444417
23_OC43_18hpi_rep3	55219666	47839677	0	0	0	0	0	0	0	0	0	0	7379989	0	0	86.63521615650482
24_OC43_24hpi_rep3	66061374	57793715	0	0	0	0	0	0	0	0	0	0	8267659	0	0	87.48488186152471
25_OC43_30hpi_rep3	83124507	73408904	0	0	0	0	0	0	0	0	0	0	9715603	0	0	88.31198722177082
29_uninfected_rep4	73552394	56720818	0	0	0	0	0	0	0	0	0	0	16831576	0	0	77.11620916105055
30_OC43_1.5hpi_rep4	73584106	57205139	0	0	0	0	0	0	0	0	0	0	16378967	0	0	77.74116192972433
31_OC43_3hpi_rep4	58926266	46384311	0	0	0	0	0	0	0	0	0	0	12541955	0	0	78.71584973668618
32_OC43_6hpi_rep4	79442926	62644122	0	0	0	0	0	0	0	0	0	0	16798804	0	0	78.8542481428743
33_OC43_9hpi_rep4	67269460	54491407	0	0	0	0	0	0	0	0	0	0	12778053	0	0	81.0046743351292
34_OC43_12hpi_rep4	71906357	61666056	0	0	0	0	0	0	0	0	0	0	10240301	0	0	85.75883770610156
35_OC43_18hpi_rep4	100541857	89240146	0	0	0	0	0	0	0	0	0	0	11301711	0	0	88.75919807210245
36_OC43_24hpi_rep4	58029275	52233283	0	0	0	0	0	0	0	0	0	0	5795992	0	0	90.01195172608998
37_OC43_30hpi_rep4	96085308	85683515	0	0	0	0	0	0	0	0	0	0	10401793	0	0	89.17441884039128
