Sample	featurecounts-Assigned	featurecounts-percent_assigned
01_uninfected_rep1	83.636305	85.56689698963196
02_OC43_3hpi_rep1	85.548063	82.66378228114321
03_OC43_6hpi_rep1	71.052292	84.11938358735897
04_OC43_9hpi_rep1	65.626661	85.28710167285587
05_OC43_12hpi_rep1	75.753134	86.50865666304819
06_OC43_18hpi_rep1	73.537009	90.7494935795824
07_OC43_24hpi_rep1	70.102047	92.01433649132802
08_OC43_30hpi_rep1	82.184432	92.24312508421446
09_uninfected_rep2	68.460047	84.36437928858128
10_OC43_1.5hpi_rep2	77.80631699999999	84.13907930058072
11_OC43_3hpi_rep2	80.227604	83.27527331334328
12_OC43_9hpi_rep2	75.88078999999999	84.28023771400078
13_OC43_12hpi_rep2	70.372835	87.8592321831945
14_OC43_18hpi_rep2	75.73373099999999	90.44084497609795
15_OC43_24hpi_rep2	26.520408999999997	35.97976378428343
16_OC43_30hpi_rep2	72.69120199999999	91.22171019217659
17_uninfected_rep3	53.615989	78.40548257059189
18_OC43_1.5hpi_rep3	56.305042	77.0483849675723
19_OC43_3hpi_rep3	47.527525	76.5897301859358
20_OC43_6hpi_rep3	57.212061	75.67952367084506
21_OC43_9hpi_rep3	57.343472	81.37593694623739
22_OC43_12hpi_rep3	44.724616	84.95284606444417
23_OC43_18hpi_rep3	47.839676999999995	86.63521615650482
24_OC43_24hpi_rep3	57.793715	87.48488186152471
25_OC43_30hpi_rep3	73.40890399999999	88.31198722177082
29_uninfected_rep4	56.720817999999994	77.11620916105055
30_OC43_1.5hpi_rep4	57.205138999999996	77.74116192972433
31_OC43_3hpi_rep4	46.384311	78.71584973668618
32_OC43_6hpi_rep4	62.644121999999996	78.8542481428743
33_OC43_9hpi_rep4	54.491406999999995	81.0046743351292
34_OC43_12hpi_rep4	61.666056	85.75883770610156
35_OC43_18hpi_rep4	89.240146	88.75919807210245
36_OC43_24hpi_rep4	52.233283	90.01195172608998
37_OC43_30hpi_rep4	85.683515	89.17441884039128
