Module	Section	Sample Name	Source
featureCounts	all_sections	08_OC43_30hpi_rep1	/home/yyyyx/Work/OC43_Bulk_MRC5_v2/feature_counts_individual/08_OC43_30hpi_rep1_count_matrix.txt.summary
featureCounts	all_sections	30_OC43_1.5hpi_rep4	/home/yyyyx/Work/OC43_Bulk_MRC5_v2/feature_counts_individual/30_OC43_1.5hpi_rep4_count_matrix.txt.summary
featureCounts	all_sections	32_OC43_6hpi_rep4	/home/yyyyx/Work/OC43_Bulk_MRC5_v2/feature_counts_individual/32_OC43_6hpi_rep4_count_matrix.txt.summary
featureCounts	all_sections	35_OC43_18hpi_rep4	/home/yyyyx/Work/OC43_Bulk_MRC5_v2/feature_counts_individual/35_OC43_18hpi_rep4_count_matrix.txt.summary
featureCounts	all_sections	04_OC43_9hpi_rep1	/home/yyyyx/Work/OC43_Bulk_MRC5_v2/feature_counts_individual/04_OC43_9hpi_rep1_count_matrix.txt.summary
featureCounts	all_sections	03_OC43_6hpi_rep1	/home/yyyyx/Work/OC43_Bulk_MRC5_v2/feature_counts_individual/03_OC43_6hpi_rep1_count_matrix.txt.summary
featureCounts	all_sections	10_OC43_1.5hpi_rep2	/home/yyyyx/Work/OC43_Bulk_MRC5_v2/feature_counts_individual/10_OC43_1.5hpi_rep2_count_matrix.txt.summary
featureCounts	all_sections	29_uninfected_rep4	/home/yyyyx/Work/OC43_Bulk_MRC5_v2/feature_counts_individual/29_uninfected_rep4_count_matrix.txt.summary
featureCounts	all_sections	06_OC43_18hpi_rep1	/home/yyyyx/Work/OC43_Bulk_MRC5_v2/feature_counts_individual/06_OC43_18hpi_rep1_count_matrix.txt.summary
featureCounts	all_sections	24_OC43_24hpi_rep3	/home/yyyyx/Work/OC43_Bulk_MRC5_v2/feature_counts_individual/24_OC43_24hpi_rep3_count_matrix.txt.summary
featureCounts	all_sections	11_OC43_3hpi_rep2	/home/yyyyx/Work/OC43_Bulk_MRC5_v2/feature_counts_individual/11_OC43_3hpi_rep2_count_matrix.txt.summary
featureCounts	all_sections	22_OC43_12hpi_rep3	/home/yyyyx/Work/OC43_Bulk_MRC5_v2/feature_counts_individual/22_OC43_12hpi_rep3_count_matrix.txt.summary
featureCounts	all_sections	14_OC43_18hpi_rep2	/home/yyyyx/Work/OC43_Bulk_MRC5_v2/feature_counts_individual/14_OC43_18hpi_rep2_count_matrix.txt.summary
featureCounts	all_sections	02_OC43_3hpi_rep1	/home/yyyyx/Work/OC43_Bulk_MRC5_v2/feature_counts_individual/02_OC43_3hpi_rep1_count_matrix.txt.summary
featureCounts	all_sections	05_OC43_12hpi_rep1	/home/yyyyx/Work/OC43_Bulk_MRC5_v2/feature_counts_individual/05_OC43_12hpi_rep1_count_matrix.txt.summary
featureCounts	all_sections	20_OC43_6hpi_rep3	/home/yyyyx/Work/OC43_Bulk_MRC5_v2/feature_counts_individual/20_OC43_6hpi_rep3_count_matrix.txt.summary
featureCounts	all_sections	19_OC43_3hpi_rep3	/home/yyyyx/Work/OC43_Bulk_MRC5_v2/feature_counts_individual/19_OC43_3hpi_rep3_count_matrix.txt.summary
featureCounts	all_sections	01_uninfected_rep1	/home/yyyyx/Work/OC43_Bulk_MRC5_v2/feature_counts_individual/01_uninfected_rep1_count_matrix.txt.summary
featureCounts	all_sections	23_OC43_18hpi_rep3	/home/yyyyx/Work/OC43_Bulk_MRC5_v2/feature_counts_individual/23_OC43_18hpi_rep3_count_matrix.txt.summary
featureCounts	all_sections	34_OC43_12hpi_rep4	/home/yyyyx/Work/OC43_Bulk_MRC5_v2/feature_counts_individual/34_OC43_12hpi_rep4_count_matrix.txt.summary
featureCounts	all_sections	33_OC43_9hpi_rep4	/home/yyyyx/Work/OC43_Bulk_MRC5_v2/feature_counts_individual/33_OC43_9hpi_rep4_count_matrix.txt.summary
featureCounts	all_sections	09_uninfected_rep2	/home/yyyyx/Work/OC43_Bulk_MRC5_v2/feature_counts_individual/09_uninfected_rep2_count_matrix.txt.summary
featureCounts	all_sections	37_OC43_30hpi_rep4	/home/yyyyx/Work/OC43_Bulk_MRC5_v2/feature_counts_individual/37_OC43_30hpi_rep4_count_matrix.txt.summary
featureCounts	all_sections	31_OC43_3hpi_rep4	/home/yyyyx/Work/OC43_Bulk_MRC5_v2/feature_counts_individual/31_OC43_3hpi_rep4_count_matrix.txt.summary
featureCounts	all_sections	25_OC43_30hpi_rep3	/home/yyyyx/Work/OC43_Bulk_MRC5_v2/feature_counts_individual/25_OC43_30hpi_rep3_count_matrix.txt.summary
featureCounts	all_sections	15_OC43_24hpi_rep2	/home/yyyyx/Work/OC43_Bulk_MRC5_v2/feature_counts_individual/15_OC43_24hpi_rep2_count_matrix.txt.summary
featureCounts	all_sections	21_OC43_9hpi_rep3	/home/yyyyx/Work/OC43_Bulk_MRC5_v2/feature_counts_individual/21_OC43_9hpi_rep3_count_matrix.txt.summary
featureCounts	all_sections	07_OC43_24hpi_rep1	/home/yyyyx/Work/OC43_Bulk_MRC5_v2/feature_counts_individual/07_OC43_24hpi_rep1_count_matrix.txt.summary
featureCounts	all_sections	16_OC43_30hpi_rep2	/home/yyyyx/Work/OC43_Bulk_MRC5_v2/feature_counts_individual/16_OC43_30hpi_rep2_count_matrix.txt.summary
featureCounts	all_sections	36_OC43_24hpi_rep4	/home/yyyyx/Work/OC43_Bulk_MRC5_v2/feature_counts_individual/36_OC43_24hpi_rep4_count_matrix.txt.summary
featureCounts	all_sections	13_OC43_12hpi_rep2	/home/yyyyx/Work/OC43_Bulk_MRC5_v2/feature_counts_individual/13_OC43_12hpi_rep2_count_matrix.txt.summary
featureCounts	all_sections	18_OC43_1.5hpi_rep3	/home/yyyyx/Work/OC43_Bulk_MRC5_v2/feature_counts_individual/18_OC43_1.5hpi_rep3_count_matrix.txt.summary
featureCounts	all_sections	17_uninfected_rep3	/home/yyyyx/Work/OC43_Bulk_MRC5_v2/feature_counts_individual/17_uninfected_rep3_count_matrix.txt.summary
featureCounts	all_sections	12_OC43_9hpi_rep2	/home/yyyyx/Work/OC43_Bulk_MRC5_v2/feature_counts_individual/12_OC43_9hpi_rep2_count_matrix.txt.summary
